Title,Company,CompanyRating,Location,Salary
Warehouse Associate - Part Time (Days Shift),Lowe's,3.5,"New York, NY ",42000.0
"Teacher - Entry - Level to Experienced (Harlem, NYC)",Success Academy Charter Schools,,"New York, NY ",
Part-Time Stocker,Aldi,3.3,"Brooklyn, NY ",41040.0
Office Helper,CALL-A-HEAD CORP.,4.5,"Broad Channel, NY ",37800.0
Part Time Cashier Associates,Lowe's,3.5,"Brooklyn, NY ",30000.0
Warehouse Part-Time Associate Days,Lowe's,3.5,"New York, NY ",12000.0
Laborer Worker,CALL-A-HEAD CORP.,4.5,"Broad Channel, NY +1 location",48600.0
Front Desk Associate,New Age Property Associates,,"New York, NY ",47520.0
Territory Account Representative - Manhattan,Uline,3.1,"New York, NY ",6.0
2023 ClassiCorps Teaching Fellowship,Classical Charter Schools,3.1,"New York, NY ",
"Teacher - Entry - Level to Experienced (Manhattan, NYC)",Success Academy Charter Schools,,"New York, NY ",
Front Desk Concierge,Onboard Property Solutions,,"New York, NY ",45360.0
Part-Time Stocker,ALDI,3.3,"Brooklyn, NY +3 locations",41040.0
Front Desk Agent,DoubleTree by Hilton New York Downtown,,"New York, NY ",47520.0
Receptionist/Administrative Assistant,"Newsmax Media, Inc.",,"New York, NY ",47520.0
Covid Swabber,Epic Healthcare,3.0,"New York, NY ",47520.0
"Teacher - Entry - Level to Experienced (Queens, NYC)",Success Academy Charter Schools,,"Queens, NY ",
Trabajo de Limpieza,Busy Bee Cleaning Service,,"New York, NY ",
Stock Associate,Mango,3.6,"New York, NY +2 locations",36720.0
PARAPROFESSIONALS,Preferred Home Care of New York,,"Queens, NY ",43200.0
Guest Service Agent,Onboard Property Solutions,,"New York, NY ",47520.0
Crew,Trader Joe's,4.0,"New York, NY ",38880.0
Video Editing Support Entry Level,Melville Management Corp,,"New York, NY ",54000.0
Full-Time Store Associate,ALDI,3.3,"New York, NY +11 locations",41040.0
Customer Service Representative - Remote - Starting 11/28/2022,Modivcare,,"New York, NY ",36720.0
Passenger Reservation & Ticketing Agent,EVA Airways Corporation,3.8,"New York, NY ",
Store Associate/Cashier/ overnight,CVS Health,3.3,"New York, NY ",32400.0
Medical Front Desk Receptionist,New York Health,,"Manhattan, NY ",
Dental/ Oral Surgery Receptionist,Midtown Oral Surgery,,"New York, NY ",43200.0
Sales Assistant,"Newsmax Media, Inc.",,"New York, NY ",101520.0
Front Desk/Intake Agent-Healthcare,"Health Center, Inc.",4.0,"New York, NY ",5.0
Front Desk Associate,Matrix 360 Security,,"New York, NY ",38880.0
Medical Front Desk Receptionist,New York Health,,"Manhattan, NY +1 location",
Care Support Coordinator (Overnight),Spring Health,,"New York, NY ",56160.0
"Sales Associate - Gerard Darel, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
"Sales Associate - James Pearse, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Warehouse Associate Part Time Days,Lowe's,3.5,"Brooklyn, NY ",18000.0
"Front Desk Receptionist, Part Time 1-2 days a week",Plastic Surgery,,"New York, NY ",43200.0
Door Person,Garden Communities NJ,3.7,"New York, NY ",54000.0
Cashier/Juicer/Barista $15 an hour + tips - New York,Joe & The Juice,3.4,"New York, NY ",32400.0
"Race Support Staff, New York City",Kinetic Events,4.1,"New York, NY ",49680.0
Dog Walker,Canine Cardio Inc.,,"New York, NY ",54000.0
"Sales Associate - Pinko, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",32400.0
Walking Dogs and getting paid ($350 - $600 per week),MixyPaws Dog Walking,3.0,"New York, NY ",18900.0
Crew,Trader Joe's,4.0,"New York, NY +15 locations",41040.0
Research Assistant I- Global Health,Mount Sinai,3.8,"New York, NY ",
New York - Prince Street | Stock Associate,Marc Jacobs,3.9,"New York, NY +1 location",
Entry Level Data Analyst,TRESUME,,"New York, NY +2 locations",58320.0
Chief Mail Clerk,Metropolitan Transportation Authority,4.0,"Manhattan, NY ",
Package Room Attendant,TF Cornerstone,3.9,"New York, NY ",38880.0
