Title,Company,CompanyRating,Location,Salary
Warehouse Associate - Part Time (Days Shift),Lowe's,3.5,"New York, NY ","$3,500 - $4,500 a month"
"Teacher - Entry - Level to Experienced (Harlem, NYC)",Success Academy Charter Schools,,"New York, NY ",
Part-Time Stocker,Aldi,3.3,"Brooklyn, NY ",$19 an hour
Office Helper,CALL-A-HEAD CORP.,4.5,"Broad Channel, NY ","$700 - $1,100 a week"
Part Time Cashier Associates,Lowe's,3.5,"Brooklyn, NY ","$2,500 - $3,500 a month"
Warehouse Part-Time Associate Days,Lowe's,3.5,"New York, NY ","$1,000 - $1,500 a month"
Laborer Worker,CALL-A-HEAD CORP.,4.5,"Broad Channel, NY +1 location","$900 - $1,300 a week"
Front Desk Associate,New Age Property Associates,,"New York, NY ",$22.25 - $27.15 an hour
Territory Account Representative - Manhattan,Uline,3.1,"New York, NY ","$68,000 - $120,000 a year"
2023 ClassiCorps Teaching Fellowship,Classical Charter Schools,3.1,"New York, NY ",
"Teacher - Entry - Level to Experienced (Manhattan, NYC)",Success Academy Charter Schools,,"New York, NY ",
Front Desk Concierge,Onboard Property Solutions,,"New York, NY ",$21.20 - $27.50 an hour
Part-Time Stocker,ALDI,3.3,"Brooklyn, NY +3 locations",$19 an hour
Front Desk Agent,DoubleTree by Hilton New York Downtown,,"New York, NY ",$22 an hour
Receptionist/Administrative Assistant,"Newsmax Media, Inc.",,"New York, NY ",$22 - $25 an hour
Covid Swabber,Epic Healthcare,3.0,"New York, NY ",$22 an hour
"Teacher - Entry - Level to Experienced (Queens, NYC)",Success Academy Charter Schools,,"Queens, NY ",
Trabajo de Limpieza,Busy Bee Cleaning Service,,"New York, NY ",
Stock Associate,Mango,3.6,"New York, NY +2 locations",$17.50 an hour
PARAPROFESSIONALS,Preferred Home Care of New York,,"Queens, NY ",$20 an hour
Guest Service Agent,Onboard Property Solutions,,"New York, NY ",$22.00 - $27.15 an hour
Crew,Trader Joe's,4.0,"New York, NY ",$18 - $20 an hour
Video Editing Support Entry Level,Melville Management Corp,,"New York, NY ",$25 an hour
Full-Time Store Associate,ALDI,3.3,"New York, NY +11 locations",$19 an hour
Customer Service Representative - Remote - Starting 11/28/2022,Modivcare,,"New York, NY ",$17 - $23 an hour
Passenger Reservation & Ticketing Agent,EVA Airways Corporation,3.8,"New York, NY ",
Store Associate/Cashier/ overnight,CVS Health,3.3,"New York, NY ",$15 - $16 an hour
Medical Front Desk Receptionist,New York Health,,"Manhattan, NY ",
Dental/ Oral Surgery Receptionist,Midtown Oral Surgery,,"New York, NY ",$20 - $28 an hour
Sales Assistant,"Newsmax Media, Inc.",,"New York, NY ",$47 - $52 an hour
Front Desk/Intake Agent-Healthcare,"Health Center, Inc.",4.0,"New York, NY ","$55,000 a year"
Front Desk Associate,Matrix 360 Security,,"New York, NY ",$18.00 - $24.50 an hour
Medical Front Desk Receptionist,New York Health,,"Manhattan, NY +1 location",
Care Support Coordinator (Overnight),Spring Health,,"New York, NY ",$26.05 an hour
"Sales Associate - Gerard Darel, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
"Sales Associate - James Pearse, Part Time, 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
Warehouse Associate Part Time Days,Lowe's,3.5,"Brooklyn, NY ","$1,500 - $2,000 a month"
"Front Desk Receptionist, Part Time 1-2 days a week",Plastic Surgery,,"New York, NY ",$20 - $25 an hour
Door Person,Garden Communities NJ,3.7,"New York, NY ",$25.50 an hour
Cashier/Juicer/Barista $15 an hour + tips - New York,Joe & The Juice,3.4,"New York, NY ",$15 - $16 an hour
"Race Support Staff, New York City",Kinetic Events,4.1,"New York, NY ",$23 - $24 an hour
Dog Walker,Canine Cardio Inc.,,"New York, NY ",$25 - $30 an hour
"Sales Associate - Pinko, Part Time: 59th Street",Bloomingdale’s,3.6,"New York, NY ",$15.00 - $34.05 an hour
Walking Dogs and getting paid ($350 - $600 per week),MixyPaws Dog Walking,3.0,"New York, NY ",$350 - $600 a week
Crew,Trader Joe's,4.0,"New York, NY +15 locations",$19 - $20 an hour
Research Assistant I- Global Health,Mount Sinai,3.8,"New York, NY ",
New York - Prince Street | Stock Associate,Marc Jacobs,3.9,"New York, NY +1 location",
Entry Level Data Analyst,TRESUME,,"New York, NY +2 locations",$27 - $30 an hour
Chief Mail Clerk,Metropolitan Transportation Authority,4.0,"Manhattan, NY ",
Package Room Attendant,TF Cornerstone,3.9,"New York, NY ",$18.45 an hour
Cashier,Chuck E Cheese,3.5,"Brooklyn, NY ",$15 - $16 an hour
Front Desk Associate,Hampton Inn Manhattan/Times Square Central | OTO Development,,"New York, NY ",$21 - $22 an hour
Server,Hillstone Midtown,3.5,"Manhattan, NY ",$250 - $400 a day
Front Desk Agent,The Standard Hotel,4.0,"New York, NY ",$21 an hour
Information Technology Apprentice,Franklin Apprenticeships,,"New York, NY ","$47,000 - $55,000 a year"
Limpieza De Casa - Part-time | NYC (3 - 12 hours weekly,Cleaning Pros,3.4,"New York, NY +2 locations",$16 - $19 an hour
Part-Time Store Associate,ALDI,3.3,"New York, NY +8 locations",$19 an hour
Guest Service Agent,Soho Grand Hotel,3.5,"New York, NY ",
Cookie Crew,Insomnia Cookies,3.1,"Brooklyn, NY +3 locations",$15.50 - $16.50 an hour
Delivery - Biker - Manhattan,Capsule,3.4,"Manhattan, NY ",
Dental Front Desk,Bensonhurst Dental,3.0,"New York, NY ","$45,000 - $70,000 a year"
Receptionist/Administrative Assistant,"Newsmax Media, Inc.",,"New York, NY ",$22 - $30 an hour
Patient Registration,Fifth Avenue Surgery Center,,"New York, NY ",$17 - $22 an hour
Seasonal Warehouse Associate,Uncommon Goods,4.2,"Brooklyn, NY ",$20 an hour
Exam Proctor,Brooklyn Law School,3.7,"Brooklyn, NY ",
Dog Walker/Pet Sitter,GreatWoof NYC,,"Manhattan, NY ",$17 - $25 an hour
